"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Jun 13 05:24:54 GMT 2024","Thu Jun 13 05:24:54 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Thu Jun 13 05:25:06 GMT 2024","Thu Jun 13 05:25:08 GMT 2024","1667","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:25:02 GMT 2024","Thu Jun 13 05:25:04 GMT 2024","1920","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:24:54 GMT 2024","Thu Jun 13 05:24:54 GMT 2024","6","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Thu Jun 13 05:25:00 GMT 2024","Thu Jun 13 05:25:02 GMT 2024","1747","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:24:58 GMT 2024","Thu Jun 13 05:25:00 GMT 2024","1819","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:24:55 GMT 2024","Thu Jun 13 05:24:58 GMT 2024","3361","Surefire suite","Surefire test","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Thu Jun 13 05:25:04 GMT 2024","Thu Jun 13 05:25:06 GMT 2024","1776","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Thu Jun 13 05:25:10 GMT 2024","Thu Jun 13 05:25:12 GMT 2024","1273","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","testOpenBaseURL","TC-O1 Open BAseURL"
"passed","Thu Jun 13 05:25:08 GMT 2024","Thu Jun 13 05:25:10 GMT 2024","1686","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
